,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
3997.4846,0.02339,0.02391,0.01849,0.01797,0.01949,0.01644,0.01829,0.02127,0.0185,0.01797,0.01656,0.015,0.01594,0.02037,0.01329,0.0178,0.01897,0.0158,0.01853,0.01418,0.01703,0.01362
3995.444,0.02354,0.02384,0.01839,0.01801,0.01954,0.01656,0.01829,0.02126,0.01833,0.01794,0.01642,0.01514,0.01577,0.02038,0.01336,0.01787,0.01903,0.01599,0.01847,0.01403,0.01702,0.01355
3993.4035,0.02357,0.02371,0.01838,0.01802,0.01969,0.01664,0.01856,0.02144,0.01824,0.01804,0.01634,0.01522,0.01566,0.02046,0.01343,0.0179,0.01907,0.016,0.0183,0.01399,0.01711,0.01358
3991.3629,0.02348,0.02358,0.01846,0.01803,0.01981,0.01669,0.01881,0.0215,0.01834,0.01804,0.01626,0.01514,0.01576,0.02051,0.01355,0.01793,0.01906,0.01583,0.01813,0.01407,0.01724,0.01354
3989.3223,0.02342,0.02358,0.01857,0.01815,0.01984,0.01681,0.01876,0.02157,0.01849,0.01807,0.0163,0.01507,0.01601,0.02056,0.01367,0.01799,0.01905,0.01569,0.01807,0.01415,0.01736,0.01347
3987.2817,0.02348,0.02365,0.01859,0.01824,0.01986,0.01692,0.0186,0.02173,0.01857,0.01825,0.01649,0.01501,0.01618,0.02059,0.01374,0.01796,0.019,0.01571,0.01814,0.01415,0.01751,0.0135
3985.2412,0.0235,0.02369,0.01856,0.01821,0.01985,0.01688,0.01858,0.02155,0.01852,0.01834,0.01658,0.01491,0.01615,0.02066,0.01375,0.01783,0.01885,0.01583,0.01822,0.01406,0.01771,0.01362
3983.2006,0.02342,0.02378,0.01855,0.01818,0.01972,0.01676,0.01871,0.02119,0.01848,0.01827,0.01647,0.01493,0.01605,0.02075,0.01372,0.0178,0.0188,0.01591,0.0182,0.01398,0.01776,0.01367
3981.16,0.02343,0.02393,0.01855,0.01816,0.01961,0.01668,0.0187,0.02113,0.01864,0.01821,0.0165,0.01509,0.01601,0.0207,0.01366,0.01792,0.01887,0.01592,0.01816,0.01391,0.01756,0.01357
3979.1195,0.02347,0.02397,0.01855,0.01815,0.01964,0.01665,0.01844,0.02123,0.01882,0.01817,0.01678,0.01517,0.01607,0.02056,0.01356,0.01804,0.01879,0.01596,0.0181,0.01382,0.01734,0.01344
3977.0789,0.02342,0.02385,0.01853,0.01813,0.01969,0.01657,0.01811,0.02125,0.01866,0.01815,0.01696,0.01513,0.01616,0.02058,0.01348,0.01798,0.01862,0.01597,0.01808,0.01384,0.01716,0.01336
